ID,Template,Decision
CJ260511-13-R42,Folding clothes on the bed,Approve
CJ260512-20-R182,Test tube sorting,Approve
CJ260512-20-R183,Test tube sorting,Approve
CJ260512-20-R184,Test tube sorting,Approve
CJ260512-20-R186,Test tube sorting,Approve
CJ260512-20-R188,Test tube sorting,Approve
CJ260512-20-R189,Test tube sorting,Approve
CJ260512-20-R190,Test tube sorting,Approve
CJ260512-20-R194,Test tube sorting,Approve
CJ260512-20-R191,Test tube sorting,Approve
CJ260512-20-R196,Test tube sorting,Imperfect
CJ260512-20-R198,Test tube sorting,Approve
CJ260512-20-R199,Test tube sorting,Imperfect
CJ260512-20-R200,Test tube sorting,Approve
CJ260512-21-R173,Test tube sorting,Imperfect
CJ260512-21-R175,Test tube sorting,Imperfect
CJ260512-21-R174,Test tube sorting,Imperfect
CJ260512-21-R176,Test tube sorting,Imperfect
CJ260512-21-R177,Test tube sorting,Imperfect
CJ260512-21-R179,Test tube sorting,Imperfect
CJ260512-21-R180,Test tube sorting,Imperfect
CJ260512-21-R181,Test tube sorting,Approve
CJ260512-21-R184,Test tube sorting,Imperfect
CJ260512-21-R185,Test tube sorting,Imperfect
CJ260512-21-R187,Test tube sorting,Imperfect
CJ260512-21-R188,Test tube sorting,Imperfect
CJ260512-21-R190,Test tube sorting,Imperfect
CJ260512-21-R191,Test tube sorting,Imperfect
CJ260512-21-R193,Test tube sorting,Imperfect
CJ260512-21-R195,Test tube sorting,Imperfect
CJ260512-21-R196,Test tube sorting,Approve
CJ260512-22-R188,Test tube sorting,Approve
CJ260512-21-R197,Test tube sorting,Imperfect
CJ260512-22-R189,Test tube sorting,Approve
CJ260512-22-R191,Test tube sorting,Approve
CJ260512-22-R190,Test tube sorting,Approve
CJ260512-22-R192,Test tube sorting,Approve
CJ260512-22-R193,Test tube sorting,Approve
CJ260512-22-R195,Test tube sorting,Approve
CJ260512-22-R194,Test tube sorting,Approve
CJ260512-22-R196,Test tube sorting,Approve
CJ260512-22-R197,Test tube sorting,Approve
CJ260512-22-R198,Test tube sorting,Imperfect
CJ260512-22-R199,Test tube sorting,Approve
CJ260512-22-R200,Test tube sorting,Approve
CJ260512-26-R170,Folding clothes on the bed,Approve
CJ260512-26-R175,Folding clothes on the bed,Approve
CJ260512-26-R179,Folding clothes on the bed,Imperfect
CJ260512-26-R185,Folding clothes on the bed,Approve
CJ260512-26-R186,Folding clothes on the bed,Approve
CJ260512-26-R187,Folding clothes on the bed,Imperfect
CJ260512-26-R188,Folding clothes on the bed,Imperfect
CJ260512-26-R189,Folding clothes on the bed,Imperfect
CJ260512-26-R191,Folding clothes on the bed,Approve
CJ260512-26-R193,Folding clothes on the bed,Imperfect
CJ260512-26-R194,Folding clothes on the bed,Imperfect
CJ260512-26-R195,Folding clothes on the bed,Imperfect
CJ260512-26-R197,Folding clothes on the bed,Imperfect
CJ260512-26-R200,Folding clothes on the bed,Imperfect
CJ260506-13-R100,Desktop stationary organization,Approve
CJ260506-13-R101,Desktop stationary organization,Approve
CJ260506-13-R102,Desktop stationary organization,Approve
CJ260506-13-R103,Desktop stationary organization,Imperfect
CJ260506-13-R104,Desktop stationary organization,Approve
CJ260506-13-R105,Desktop stationary organization,Imperfect
CJ260506-13-R106,Desktop stationary organization,Approve
CJ260506-13-R107,Desktop stationary organization,Approve
CJ260506-13-R108,Desktop stationary organization,Imperfect
CJ260506-13-R109,Desktop stationary organization,Approve
CJ260506-13-R110,Desktop stationary organization,Approve
CJ260506-13-R111,Desktop stationary organization,Approve
CJ260506-13-R112,Desktop stationary organization,Approve
CJ260506-13-R114,Desktop stationary organization,Imperfect
CJ260506-13-R115,Desktop stationary organization,Approve
CJ260506-13-R116,Desktop stationary organization,Approve
CJ260506-13-R117,Desktop stationary organization,Approve
CJ260506-13-R118,Desktop stationary organization,Approve
CJ260506-13-R119,Desktop stationary organization,Approve
CJ260506-13-R120,Desktop stationary organization,Approve
CJ260506-13-R121,Desktop stationary organization,Approve
CJ260506-13-R122,Desktop stationary organization,Approve
CJ260506-13-R123,Desktop stationary organization,Approve
CJ260506-13-R124,Desktop stationary organization,Approve
CJ260506-13-R125,Desktop stationary organization,Approve
CJ260506-13-R126,Desktop stationary organization,Approve
CJ260506-13-R127,Desktop stationary organization,Approve
CJ260506-13-R128,Desktop stationary organization,Approve
CJ260506-13-R129,Desktop stationary organization,Approve
CJ260506-13-R130,Desktop stationary organization,Approve
CJ260506-13-R132,Desktop stationary organization,Approve
CJ260506-13-R133,Desktop stationary organization,Approve
CJ260506-13-R136,Desktop stationary organization,Approve
CJ260506-13-R139,Desktop stationary organization,Approve
CJ260506-13-R140,Desktop stationary organization,Approve
CJ260506-13-R143,Desktop stationary organization,Approve
CJ260506-13-R144,Desktop stationary organization,Approve
CJ260506-13-R171,Desktop stationary organization,Approve
CJ260506-13-R172,Desktop stationary organization,Approve
CJ260506-13-R174,Desktop stationary organization,Imperfect
CJ260506-13-R175,Desktop stationary organization,Approve
CJ260506-13-R176,Desktop stationary organization,Approve
CJ260506-13-R177,Desktop stationary organization,Approve
CJ260506-13-R178,Desktop stationary organization,Imperfect
CJ260506-13-R179,Desktop stationary organization,Approve
CJ260506-13-R181,Desktop stationary organization,Approve
CJ260506-13-R184,Desktop stationary organization,Approve
CJ260506-13-R185,Desktop stationary organization,Approve
CJ260506-13-R186,Desktop stationary organization,Approve
CJ260506-13-R190,Desktop stationary organization,Approve
CJ260506-13-R191,Desktop stationary organization,Approve
CJ260506-13-R192,Desktop stationary organization,Approve
CJ260506-13-R193,Desktop stationary organization,Approve
CJ260506-13-R194,Desktop stationary organization,Approve
CJ260506-13-R195,Desktop stationary organization,Approve
CJ260506-13-R196,Desktop stationary organization,Approve
CJ260506-13-R197,Desktop stationary organization,Approve
CJ260506-13-R198,Desktop stationary organization,Approve
CJ260506-13-R200,Desktop stationary organization,Approve
CJ260506-13-R54,Desktop stationary organization,Approve
CJ260506-13-R55,Desktop stationary organization,Approve
CJ260506-13-R56,Desktop stationary organization,Approve
CJ260506-13-R57,Desktop stationary organization,Approve
CJ260506-13-R58,Desktop stationary organization,Approve
CJ260506-13-R59,Desktop stationary organization,Approve
CJ260506-13-R60,Desktop stationary organization,Approve
CJ260506-13-R61,Desktop stationary organization,Approve
CJ260506-13-R62,Desktop stationary organization,Approve
CJ260506-13-R63,Desktop stationary organization,Approve
CJ260506-13-R64,Desktop stationary organization,Approve
CJ260506-13-R66,Desktop stationary organization,Approve
CJ260506-13-R67,Desktop stationary organization,Approve
CJ260506-13-R68,Desktop stationary organization,Approve
CJ260506-13-R69,Desktop stationary organization,Imperfect
CJ260506-13-R71,Desktop stationary organization,Approve
CJ260506-13-R73,Desktop stationary organization,Approve
CJ260506-13-R74,Desktop stationary organization,Approve
CJ260506-13-R75,Desktop stationary organization,Imperfect
CJ260506-13-R76,Desktop stationary organization,Approve
CJ260506-13-R78,Desktop stationary organization,Approve
CJ260506-13-R79,Desktop stationary organization,Approve
CJ260506-13-R82,Desktop stationary organization,Approve
CJ260506-13-R83,Desktop stationary organization,Approve
CJ260506-13-R84,Desktop stationary organization,Approve
CJ260506-13-R85,Desktop stationary organization,Approve
CJ260506-13-R86,Desktop stationary organization,Approve
CJ260506-13-R87,Desktop stationary organization,Approve
CJ260506-13-R88,Desktop stationary organization,Approve
CJ260506-13-R89,Desktop stationary organization,Approve
CJ260506-13-R90,Desktop stationary organization,Approve
CJ260506-13-R91,Desktop stationary organization,Approve
CJ260506-13-R92,Desktop stationary organization,Approve
CJ260506-13-R93,Desktop stationary organization,Approve
CJ260506-13-R94,Desktop stationary organization,Approve
CJ260506-13-R95,Desktop stationary organization,Approve
CJ260506-13-R96,Desktop stationary organization,Approve
CJ260506-13-R99,Desktop stationary organization,Approve
CJ260511-12-R19,Folding clothes on the bed,Approve
CJ260511-12-R22,Folding clothes on the bed,Imperfect
CJ260511-12-R27,Folding clothes on the bed,Approve
CJ260511-12-R29,Folding clothes on the bed,Imperfect
CJ260511-12-R30,Folding clothes on the bed,Imperfect
CJ260511-12-R31,Folding clothes on the bed,Imperfect
CJ260511-12-R33,Folding clothes on the bed,Reject
CJ260511-12-R37,Folding clothes on the bed,Imperfect
CJ260511-12-R40,Folding clothes on the bed,Reject
CJ260511-12-R41,Folding clothes on the bed,Approve
CJ260511-12-R45,Folding clothes on the bed,Approve
CJ260511-12-R46,Folding clothes on the bed,Reject
CJ260511-12-R47,Folding clothes on the bed,Imperfect
CJ260511-12-R48,Folding clothes on the bed,Approve
CJ260511-12-R53,Folding clothes on the bed,Approve
CJ260511-12-R54,Folding clothes on the bed,Imperfect
CJ260511-12-R56,Folding clothes on the bed,Imperfect
CJ260511-36-R101,Pouring water in a tea restaurant,Imperfect
CJ260511-36-R117,Pouring water in a tea restaurant,Imperfect
CJ260511-36-R122,Pouring water in a tea restaurant,Approve
CJ260511-36-R129,Pouring water in a tea restaurant,Imperfect
CJ260511-36-R139,Pouring water in a tea restaurant,Approve
CJ260511-36-R141,Pouring water in a tea restaurant,Reject
CJ260511-36-R154,Pouring water in a tea restaurant,Approve
CJ260511-36-R156,Pouring water in a tea restaurant,Approve
CJ260511-36-R157,Pouring water in a tea restaurant,Imperfect
CJ260511-36-R158,Pouring water in a tea restaurant,Approve
CJ260511-36-R159,Pouring water in a tea restaurant,Approve
CJ260512-14-R20,Organize the coffee table 2.0,Approve
CJ260512-14-R21,Organize the coffee table 2.0,Approve
CJ260512-14-R23,Organize the coffee table 2.0,Approve
CJ260512-14-R24,Organize the coffee table 2.0,Approve
CJ260512-14-R25,Organize the coffee table 2.0,Approve
CJ260512-14-R26,Organize the coffee table 2.0,Approve
CJ260512-14-R27,Organize the coffee table 2.0,Imperfect
CJ260512-14-R28,Organize the coffee table 2.0,Approve
CJ260512-14-R29,Organize the coffee table 2.0,Approve
CJ260512-14-R30,Organize the coffee table 2.0,Approve
CJ260512-14-R31,Organize the coffee table 2.0,Approve
CJ260512-14-R32,Organize the coffee table 2.0,Imperfect
CJ260512-14-R33,Organize the coffee table 2.0,Approve
CJ260512-14-R34,Organize the coffee table 2.0,Approve
CJ260512-14-R35,Organize the coffee table 2.0,Approve
CJ260512-14-R36,Organize the coffee table 2.0,Approve
CJ260512-14-R37,Organize the coffee table 2.0,Approve
CJ260512-14-R38,Organize the coffee table 2.0,Approve
CJ260512-14-R39,Organize the coffee table 2.0,Approve
CJ260512-14-R40,Organize the coffee table 2.0,Imperfect
CJ260512-14-R41,Organize the coffee table 2.0,Approve
CJ260512-14-R42,Organize the coffee table 2.0,Imperfect
CJ260512-14-R43,Organize the coffee table 2.0,Reject
CJ260512-14-R44,Organize the coffee table 2.0,Imperfect
CJ260512-14-R45,Organize the coffee table 2.0,Approve
CJ260512-14-R46,Organize the coffee table 2.0,Approve
CJ260512-14-R49,Organize the coffee table 2.0,Approve
CJ260512-14-R51,Organize the coffee table 2.0,Approve
CJ260512-14-R52,Organize the coffee table 2.0,Approve
CJ260512-14-R53,Organize the coffee table 2.0,Imperfect
CJ260512-14-R55,Organize the coffee table 2.0,Approve
CJ260512-14-R57,Organize the coffee table 2.0,Approve
CJ260512-14-R58,Organize the coffee table 2.0,Approve
CJ260512-14-R59,Organize the coffee table 2.0,Approve
CJ260512-14-R60,Organize the coffee table 2.0,Approve
CJ260512-14-R61,Organize the coffee table 2.0,Approve
CJ260512-14-R62,Organize the coffee table 2.0,Approve
CJ260512-14-R63,Organize the coffee table 2.0,Imperfect
CJ260512-14-R64,Organize the coffee table 2.0,Imperfect
CJ260512-14-R65,Organize the coffee table 2.0,Approve
CJ260512-14-R66,Organize the coffee table 2.0,Approve
CJ260512-14-R67,Organize the coffee table 2.0,Approve
CJ260512-14-R68,Organize the coffee table 2.0,Approve
CJ260512-14-R69,Organize the coffee table 2.0,Reject
CJ260512-14-R70,Organize the coffee table 2.0,Approve
CJ260512-14-R72,Organize the coffee table 2.0,Approve
CJ260512-14-R73,Organize the coffee table 2.0,Imperfect
CJ260512-14-R74,Organize the coffee table 2.0,Approve
CJ260512-14-R76,Organize the coffee table 2.0,Imperfect
CJ260512-14-R77,Organize the coffee table 2.0,Approve
CJ260512-14-R78,Organize the coffee table 2.0,Imperfect
CJ260512-14-R80,Organize the coffee table 2.0,Approve
CJ260512-14-R81,Organize the coffee table 2.0,Approve
CJ260512-14-R83,Organize the coffee table 2.0,Approve
CJ260512-14-R84,Organize the coffee table 2.0,Approve
CJ260512-14-R86,Organize the coffee table 2.0,Approve
CJ260512-14-R87,Organize the coffee table 2.0,Approve
CJ260512-14-R88,Organize the coffee table 2.0,Approve
CJ260512-14-R89,Organize the coffee table 2.0,Approve
CJ260512-14-R90,Organize the coffee table 2.0,Imperfect
CJ260512-14-R91,Organize the coffee table 2.0,Approve
CJ260512-14-R92,Organize the coffee table 2.0,Approve
CJ260512-14-R93,Organize the coffee table 2.0,Approve
CJ260512-14-R94,Organize the coffee table 2.0,Approve
CJ260512-14-R95,Organize the coffee table 2.0,Approve
CJ260512-14-R96,Organize the coffee table 2.0,Approve
CJ260512-14-R99,Organize the coffee table 2.0,Approve
CJ260512-16-R100,Clean up the trash on the desktop,Approve
CJ260512-16-R102,Clean up the trash on the desktop,Approve
CJ260512-16-R103,Clean up the trash on the desktop,Approve
CJ260512-16-R104,Clean up the trash on the desktop,Reject
CJ260512-16-R106,Clean up the trash on the desktop,Imperfect
CJ260512-16-R107,Clean up the trash on the desktop,Approve
CJ260512-16-R110,Clean up the trash on the desktop,Approve
CJ260512-16-R114,Clean up the trash on the desktop,Imperfect
CJ260512-16-R116,Clean up the trash on the desktop,Approve
CJ260512-16-R118,Clean up the trash on the desktop,Approve
CJ260512-16-R120,Clean up the trash on the desktop,Approve
CJ260512-16-R122,Clean up the trash on the desktop,Reject
CJ260512-16-R125,Clean up the trash on the desktop,Imperfect
CJ260512-16-R128,Clean up the trash on the desktop,Approve
CJ260512-16-R130,Clean up the trash on the desktop,Reject
CJ260512-16-R131,Clean up the trash on the desktop,Reject
CJ260512-16-R133,Clean up the trash on the desktop,Approve
CJ260512-16-R136,Clean up the trash on the desktop,Approve
CJ260512-16-R138,Clean up the trash on the desktop,Reject
CJ260512-16-R139,Clean up the trash on the desktop,Reject
CJ260512-16-R140,Clean up the trash on the desktop,Approve
CJ260512-16-R142,Clean up the trash on the desktop,Reject
CJ260512-16-R147,Clean up the trash on the desktop,Reject
CJ260512-16-R148,Clean up the trash on the desktop,Reject
CJ260512-16-R149,Clean up the trash on the desktop,Reject
CJ260512-16-R151,Clean up the trash on the desktop,Reject
CJ260512-16-R153,Clean up the trash on the desktop,Reject
CJ260512-16-R154,Clean up the trash on the desktop,Reject
CJ260512-16-R155,Clean up the trash on the desktop,Imperfect
CJ260512-16-R158,Clean up the trash on the desktop,Imperfect
CJ260512-16-R159,Clean up the trash on the desktop,Approve
CJ260512-16-R161,Clean up the trash on the desktop,Approve
CJ260512-16-R163,Clean up the trash on the desktop,Imperfect
CJ260512-16-R164,Clean up the trash on the desktop,Imperfect
CJ260512-16-R165,Clean up the trash on the desktop,Approve
CJ260512-16-R166,Clean up the trash on the desktop,Reject
CJ260512-16-R167,Clean up the trash on the desktop,Imperfect
CJ260512-16-R168,Clean up the trash on the desktop,Reject
CJ260512-16-R170,Clean up the trash on the desktop,Approve
CJ260512-16-R171,Clean up the trash on the desktop,Approve
CJ260512-16-R174,Clean up the trash on the desktop,Approve
CJ260512-16-R175,Clean up the trash on the desktop,Imperfect
CJ260512-16-R177,Clean up the trash on the desktop,Imperfect
CJ260512-16-R178,Clean up the trash on the desktop,Approve
CJ260512-16-R179,Clean up the trash on the desktop,Imperfect
CJ260512-16-R182,Clean up the trash on the desktop,Reject
CJ260512-16-R183,Clean up the trash on the desktop,Reject
CJ260512-16-R184,Clean up the trash on the desktop,Approve
CJ260512-16-R185,Clean up the trash on the desktop,Reject
CJ260512-16-R187,Clean up the trash on the desktop,Approve
CJ260512-16-R188,Clean up the trash on the desktop,Approve
CJ260512-16-R189,Clean up the trash on the desktop,Imperfect
CJ260512-16-R190,Clean up the trash on the desktop,Approve
CJ260512-16-R191,Clean up the trash on the desktop,Approve
CJ260512-16-R193,Clean up the trash on the desktop,Reject
CJ260512-16-R195,Clean up the trash on the desktop,Approve
CJ260512-16-R197,Clean up the trash on the desktop,Approve
CJ260512-16-R200,Clean up the trash on the desktop,Reject
CJ260512-16-R27,Clean up the trash on the desktop,Approve
CJ260512-16-R29,Clean up the trash on the desktop,Reject
CJ260512-16-R30,Clean up the trash on the desktop,Approve
CJ260512-16-R31,Clean up the trash on the desktop,Approve
CJ260512-16-R32,Clean up the trash on the desktop,Reject
CJ260512-16-R33,Clean up the trash on the desktop,Imperfect
CJ260512-16-R37,Clean up the trash on the desktop,Reject
CJ260512-16-R38,Clean up the trash on the desktop,Approve
CJ260512-16-R40,Clean up the trash on the desktop,Approve
CJ260512-16-R41,Clean up the trash on the desktop,Approve
CJ260512-16-R42,Clean up the trash on the desktop,Approve
CJ260512-16-R43,Clean up the trash on the desktop,Approve
CJ260512-16-R44,Clean up the trash on the desktop,Reject
CJ260512-16-R45,Clean up the trash on the desktop,Reject
CJ260512-16-R46,Clean up the trash on the desktop,Approve
CJ260512-16-R47,Clean up the trash on the desktop,Approve
CJ260512-16-R48,Clean up the trash on the desktop,Reject
CJ260512-16-R50,Clean up the trash on the desktop,Reject
CJ260512-16-R51,Clean up the trash on the desktop,Approve
CJ260512-16-R52,Clean up the trash on the desktop,Approve
CJ260512-16-R53,Clean up the trash on the desktop,Approve
CJ260512-16-R54,Clean up the trash on the desktop,Reject
CJ260512-16-R55,Clean up the trash on the desktop,Approve
CJ260512-16-R56,Clean up the trash on the desktop,Reject
CJ260512-16-R57,Clean up the trash on the desktop,Reject
CJ260512-16-R58,Clean up the trash on the desktop,Approve
CJ260512-16-R59,Clean up the trash on the desktop,Approve
CJ260512-16-R60,Clean up the trash on the desktop,Reject
CJ260512-16-R61,Clean up the trash on the desktop,Approve
CJ260512-16-R62,Clean up the trash on the desktop,Approve
CJ260512-16-R64,Clean up the trash on the desktop,Reject
CJ260512-16-R63,Clean up the trash on the desktop,Imperfect
CJ260512-16-R66,Clean up the trash on the desktop,Imperfect
CJ260512-16-R65,Clean up the trash on the desktop,Reject
CJ260512-16-R67,Clean up the trash on the desktop,Approve
CJ260512-16-R69,Clean up the trash on the desktop,Imperfect
CJ260512-16-R68,Clean up the trash on the desktop,Approve
CJ260512-16-R71,Clean up the trash on the desktop,Reject
CJ260512-16-R72,Clean up the trash on the desktop,Reject
CJ260512-16-R73,Clean up the trash on the desktop,Approve
CJ260512-16-R74,Clean up the trash on the desktop,Reject
CJ260512-16-R75,Clean up the trash on the desktop,Imperfect
CJ260512-16-R76,Clean up the trash on the desktop,Reject
CJ260512-16-R77,Clean up the trash on the desktop,Imperfect
CJ260512-16-R78,Clean up the trash on the desktop,Reject
CJ260512-16-R79,Clean up the trash on the desktop,Reject
CJ260512-16-R80,Clean up the trash on the desktop,Approve
CJ260512-16-R81,Clean up the trash on the desktop,Reject
CJ260512-16-R82,Clean up the trash on the desktop,Reject
CJ260512-16-R83,Clean up the trash on the desktop,Reject
CJ260512-16-R84,Clean up the trash on the desktop,Reject
CJ260512-16-R85,Clean up the trash on the desktop,Approve
CJ260512-16-R86,Clean up the trash on the desktop,Approve
CJ260512-16-R87,Clean up the trash on the desktop,Reject
CJ260512-16-R88,Clean up the trash on the desktop,Imperfect
CJ260512-16-R89,Clean up the trash on the desktop,Imperfect
CJ260512-16-R91,Clean up the trash on the desktop,Reject
CJ260512-16-R92,Clean up the trash on the desktop,Reject
CJ260512-16-R93,Clean up the trash on the desktop,Imperfect
CJ260512-16-R94,Clean up the trash on the desktop,Imperfect
CJ260512-16-R95,Clean up the trash on the desktop,Approve
CJ260512-16-R97,Clean up the trash on the desktop,Approve
CJ260512-16-R98,Clean up the trash on the desktop,Reject
CJ260512-20-R100,Test tube sorting,Approve
CJ260512-20-R101,Test tube sorting,Approve
CJ260512-20-R104,Test tube sorting,Approve
CJ260512-20-R105,Test tube sorting,Approve
CJ260512-20-R107,Test tube sorting,Approve
CJ260512-20-R108,Test tube sorting,Approve
CJ260512-20-R109,Test tube sorting,Approve
CJ260512-20-R111,Test tube sorting,Approve
CJ260512-20-R112,Test tube sorting,Approve
CJ260512-20-R113,Test tube sorting,Approve
CJ260512-20-R114,Test tube sorting,Imperfect
CJ260512-20-R115,Test tube sorting,Approve
CJ260512-20-R118,Test tube sorting,Imperfect
CJ260512-20-R119,Test tube sorting,Imperfect
CJ260512-20-R120,Test tube sorting,Approve
CJ260512-20-R121,Test tube sorting,Imperfect
CJ260512-20-R122,Test tube sorting,Imperfect
CJ260512-20-R124,Test tube sorting,Approve
CJ260512-20-R125,Test tube sorting,Approve
CJ260512-20-R127,Test tube sorting,Approve
CJ260512-20-R128,Test tube sorting,Approve
CJ260512-20-R130,Test tube sorting,Imperfect
CJ260512-20-R131,Test tube sorting,Imperfect
CJ260512-20-R133,Test tube sorting,Approve
CJ260512-20-R134,Test tube sorting,Approve
CJ260512-20-R135,Test tube sorting,Approve
CJ260512-20-R136,Test tube sorting,Approve
CJ260512-20-R137,Test tube sorting,Approve
CJ260512-20-R138,Test tube sorting,Approve
CJ260512-20-R139,Test tube sorting,Reject
CJ260512-20-R141,Test tube sorting,Approve
CJ260512-20-R142,Test tube sorting,Approve
CJ260512-20-R143,Test tube sorting,Approve
CJ260512-20-R144,Test tube sorting,Approve
CJ260512-20-R146,Test tube sorting,Approve
CJ260512-20-R145,Test tube sorting,Approve
CJ260512-20-R147,Test tube sorting,Approve
CJ260512-20-R148,Test tube sorting,Approve
CJ260512-20-R149,Test tube sorting,Approve
CJ260512-20-R150,Test tube sorting,Approve
CJ260512-20-R151,Test tube sorting,Imperfect
CJ260512-20-R152,Test tube sorting,Approve
CJ260512-20-R153,Test tube sorting,Reject
CJ260512-20-R155,Test tube sorting,Approve
CJ260512-20-R157,Test tube sorting,Approve
CJ260512-20-R159,Test tube sorting,Approve
CJ260512-20-R160,Test tube sorting,Approve
CJ260512-20-R161,Test tube sorting,Approve
CJ260512-20-R164,Test tube sorting,Approve
CJ260512-20-R166,Test tube sorting,Approve
CJ260512-20-R167,Test tube sorting,Approve
CJ260512-20-R168,Test tube sorting,Approve
CJ260512-20-R169,Test tube sorting,Imperfect
CJ260512-20-R170,Test tube sorting,Approve
CJ260512-20-R172,Test tube sorting,Imperfect
CJ260512-20-R174,Test tube sorting,Approve
CJ260512-20-R176,Test tube sorting,Approve
CJ260512-20-R25,Test tube sorting,Approve
CJ260512-20-R26,Test tube sorting,Approve
CJ260512-20-R27,Test tube sorting,Imperfect
CJ260512-20-R28,Test tube sorting,Approve
CJ260512-20-R29,Test tube sorting,Approve
CJ260512-20-R30,Test tube sorting,Approve
CJ260512-20-R31,Test tube sorting,Approve
CJ260512-20-R32,Test tube sorting,Approve
CJ260512-20-R34,Test tube sorting,Approve
CJ260512-20-R35,Test tube sorting,Approve
CJ260512-20-R36,Test tube sorting,Approve
CJ260512-20-R38,Test tube sorting,Approve
CJ260512-20-R40,Test tube sorting,Approve
CJ260512-20-R41,Test tube sorting,Imperfect
CJ260512-20-R42,Test tube sorting,Imperfect
CJ260512-20-R43,Test tube sorting,Approve
CJ260512-20-R44,Test tube sorting,Approve
CJ260512-20-R46,Test tube sorting,Imperfect
CJ260512-20-R47,Test tube sorting,Approve
CJ260512-20-R48,Test tube sorting,Approve
CJ260512-20-R49,Test tube sorting,Approve
CJ260512-20-R51,Test tube sorting,Approve
CJ260512-20-R52,Test tube sorting,Approve
CJ260512-20-R53,Test tube sorting,Approve
CJ260512-20-R54,Test tube sorting,Approve
CJ260512-20-R56,Test tube sorting,Approve
CJ260512-20-R57,Test tube sorting,Approve
CJ260512-20-R58,Test tube sorting,Approve
CJ260512-20-R59,Test tube sorting,Approve
CJ260512-20-R60,Test tube sorting,Approve
CJ260512-20-R61,Test tube sorting,Approve
CJ260512-20-R62,Test tube sorting,Approve
CJ260512-20-R65,Test tube sorting,Imperfect
CJ260512-20-R67,Test tube sorting,Approve
CJ260512-20-R68,Test tube sorting,Approve
CJ260512-20-R72,Test tube sorting,Approve
CJ260512-20-R73,Test tube sorting,Approve
CJ260512-20-R75,Test tube sorting,Approve
CJ260512-20-R77,Test tube sorting,Approve
CJ260512-20-R79,Test tube sorting,Approve
CJ260512-20-R80,Test tube sorting,Reject
CJ260512-20-R82,Test tube sorting,Reject
CJ260512-20-R88,Test tube sorting,Approve
CJ260512-20-R89,Test tube sorting,Approve
CJ260512-20-R90,Test tube sorting,Approve
CJ260512-20-R91,Test tube sorting,Approve
CJ260512-20-R93,Test tube sorting,Approve
CJ260512-20-R94,Test tube sorting,Approve
CJ260512-20-R95,Test tube sorting,Approve
CJ260512-20-R96,Test tube sorting,Approve
CJ260512-20-R97,Test tube sorting,Approve
CJ260512-22-R100,Test tube sorting,Imperfect
CJ260512-22-R101,Test tube sorting,Approve
CJ260512-22-R102,Test tube sorting,Approve
